Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,0.00,0.00,0.00,0.00,Species
7,4.60,3.40,1.40,0.30,Iris-setosa
9,4.40,2.90,1.40,0.20,Iris-setosa
10,4.90,3.10,1.50,0.10,Iris-setosa
13,4.80,3.00,1.40,0.10,Iris-setosa
16,5.70,4.40,1.50,0.40,Iris-setosa
17,5.40,3.90,1.30,0.40,Iris-setosa
32,5.40,3.40,1.50,0.40,Iris-setosa
36,5.00,3.20,1.20,0.20,Iris-setosa
46,4.80,3.00,1.40,0.30,Iris-setosa
51,7.00,3.20,4.70,1.40,Iris-versicolor
55,6.50,2.80,4.60,1.50,Iris-versicolor
69,6.20,2.20,4.50,1.50,Iris-versicolor
70,5.60,2.50,3.90,1.10,Iris-versicolor
76,6.60,3.00,4.40,1.40,Iris-versicolor
78,6.70,3.00,5.00,1.70,Iris-versicolor
80,5.70,2.60,3.50,1.00,Iris-versicolor
88,6.30,2.30,4.40,1.30,Iris-versicolor
89,5.60,3.00,4.10,1.30,Iris-versicolor
95,5.60,2.70,4.20,1.30,Iris-versicolor
96,5.70,3.00,4.20,1.20,Iris-versicolor
98,6.20,2.90,4.30,1.30,Iris-versicolor
103,7.10,3.00,5.90,2.10,Iris-virginica
104,6.30,2.90,5.60,1.80,Iris-virginica
111,6.50,3.20,5.10,2.00,Iris-virginica
114,5.70,2.50,5.00,2.00,Iris-virginica
132,7.90,3.80,6.40,2.00,Iris-virginica
133,6.40,2.80,5.60,2.20,Iris-virginica
134,6.30,2.80,5.10,1.50,Iris-virginica
138,6.40,3.10,5.50,1.80,Iris-virginica
139,6.00,3.00,4.80,1.80,Iris-virginica
