Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
28,5.20,3.50,1.50,0.20,Iris-setosa
21,5.40,3.40,1.70,0.20,Iris-setosa
49,5.30,3.70,1.50,0.20,Iris-setosa
74,6.10,2.80,4.70,1.20,Iris-versicolor
58,4.90,2.40,3.30,1.00,Iris-versicolor
53,6.90,3.10,4.90,1.50,Iris-versicolor
43,4.40,3.20,1.30,0.20,Iris-setosa
33,5.20,4.10,1.50,0.10,Iris-setosa
121,6.90,3.20,5.70,2.30,Iris-virginica
68,5.80,2.70,4.10,1.00,Iris-versicolor
1,5.10,3.50,1.40,0.20,Iris-setosa
81,5.50,2.40,3.80,1.10,Iris-versicolor
135,6.10,2.60,5.60,1.40,Iris-virginica
110,7.20,3.60,6.10,2.50,Iris-virginica
146,6.70,3.00,5.20,2.30,Iris-virginica
61,5.00,2.00,3.50,1.00,Iris-versicolor
147,6.30,2.50,5.00,1.90,Iris-virginica
99,5.10,2.50,3.00,1.10,Iris-versicolor
20,5.10,3.80,1.50,0.30,Iris-setosa
45,5.10,3.80,1.90,0.40,Iris-setosa
84,6.00,2.70,5.10,1.60,Iris-versicolor
136,7.70,3.00,6.10,2.30,Iris-virginica
50,5.00,3.30,1.40,0.20,Iris-setosa
18,5.10,3.50,1.40,0.30,Iris-setosa
102,5.80,2.70,5.10,1.90,Iris-virginica
82,5.50,2.40,3.70,1.00,Iris-versicolor
87,6.70,3.10,4.70,1.50,Iris-versicolor
126,7.20,3.20,6.00,1.80,Iris-virginica
107,4.90,2.50,4.50,1.70,Iris-virginica
15,5.80,4.00,1.20,0.20,Iris-setosa
65,5.60,2.90,3.60,1.30,Iris-versicolor
54,5.50,2.30,4.00,1.30,Iris-versicolor
77,6.80,2.80,4.80,1.40,Iris-versicolor
130,7.20,3.00,5.80,1.60,Iris-virginica
23,4.60,3.60,1.00,0.20,Iris-setosa
140,6.90,3.10,5.40,2.10,Iris-virginica
137,6.30,3.40,5.60,2.40,Iris-virginica
90,5.50,2.50,4.00,1.30,Iris-versicolor
19,5.70,3.80,1.70,0.30,Iris-setosa
59,6.60,2.90,4.60,1.30,Iris-versicolor
8,5.00,3.40,1.50,0.20,Iris-setosa
52,6.40,3.20,4.50,1.50,Iris-versicolor
67,5.60,3.00,4.50,1.50,Iris-versicolor
25,4.80,3.40,1.90,0.20,Iris-setosa
113,6.80,3.00,5.50,2.10,Iris-virginica
34,5.50,4.20,1.40,0.20,Iris-setosa
30,4.70,3.20,1.60,0.20,Iris-setosa
112,6.40,2.70,5.30,1.90,Iris-virginica
2,4.90,3.00,1.40,0.20,Iris-setosa
141,6.70,3.10,5.60,2.40,Iris-virginica
5,5.00,3.60,1.40,0.20,Iris-setosa
11,5.40,3.70,1.50,0.20,Iris-setosa
41,5.00,3.50,1.30,0.30,Iris-setosa
75,6.40,2.90,4.30,1.30,Iris-versicolor
93,5.80,2.60,4.00,1.20,Iris-versicolor
64,6.10,2.90,4.70,1.40,Iris-versicolor
144,6.80,3.20,5.90,2.30,Iris-virginica
106,7.60,3.00,6.60,2.10,Iris-virginica
116,6.40,3.20,5.30,2.30,Iris-virginica
92,6.10,3.00,4.60,1.40,Iris-versicolor
123,7.70,2.80,6.70,2.00,Iris-virginica
97,5.70,2.90,4.20,1.30,Iris-versicolor
117,6.50,3.00,5.50,1.80,Iris-virginica
66,6.70,3.10,4.40,1.40,Iris-versicolor
63,6.00,2.20,4.00,1.00,Iris-versicolor
131,7.40,2.80,6.10,1.90,Iris-virginica
120,6.00,2.20,5.00,1.50,Iris-virginica
72,6.10,2.80,4.00,1.30,Iris-versicolor
38,4.90,3.10,1.50,0.10,Iris-setosa
39,4.40,3.00,1.30,0.20,Iris-setosa
48,4.60,3.20,1.40,0.20,Iris-setosa
37,5.50,3.50,1.30,0.20,Iris-setosa
27,5.00,3.40,1.60,0.40,Iris-setosa
86,6.00,3.40,4.50,1.60,Iris-versicolor
22,5.10,3.70,1.50,0.40,Iris-setosa
124,6.30,2.70,4.90,1.80,Iris-virginica
40,5.10,3.40,1.50,0.20,Iris-setosa
145,6.70,3.30,5.70,2.50,Iris-virginica
122,5.60,2.80,4.90,2.00,Iris-virginica
118,7.70,3.80,6.70,2.20,Iris-virginica
148,6.50,3.00,5.20,2.00,Iris-virginica
108,7.30,2.90,6.30,1.80,Iris-virginica
128,6.10,3.00,4.90,1.80,Iris-virginica
143,5.80,2.70,5.10,1.90,Iris-virginica
31,4.80,3.10,1.60,0.20,Iris-setosa
115,5.80,2.80,5.10,2.40,Iris-virginica
3,4.70,3.20,1.30,0.20,Iris-setosa
91,5.50,2.60,4.40,1.20,Iris-versicolor
101,6.30,3.30,6.00,2.50,Iris-virginica
26,5.00,3.00,1.60,0.20,Iris-setosa
149,6.20,3.40,5.40,2.30,Iris-virginica
127,6.20,2.80,4.80,1.80,Iris-virginica
73,6.30,2.50,4.90,1.50,Iris-versicolor
119,7.70,2.60,6.90,2.30,Iris-virginica
35,4.90,3.10,1.50,0.10,Iris-setosa
24,5.10,3.30,1.70,0.50,Iris-setosa
79,6.00,2.90,4.50,1.50,Iris-versicolor
56,5.70,2.80,4.50,1.30,Iris-versicolor
4,4.60,3.10,1.50,0.20,Iris-setosa
12,4.80,3.40,1.60,0.20,Iris-setosa
85,5.40,3.00,4.50,1.50,Iris-versicolor
44,5.00,3.50,1.60,0.60,Iris-setosa
71,5.90,3.20,4.80,1.80,Iris-versicolor
29,5.20,3.40,1.40,0.20,Iris-setosa
125,6.70,3.30,5.70,2.10,Iris-virginica
62,5.90,3.00,4.20,1.50,Iris-versicolor
57,6.30,3.30,4.70,1.60,Iris-versicolor
6,5.40,3.90,1.70,0.40,Iris-setosa
109,6.70,2.50,5.80,1.80,Iris-virginica
142,6.90,3.10,5.10,2.30,Iris-virginica
47,5.10,3.80,1.60,0.20,Iris-setosa
150,5.90,3.00,5.10,1.80,Iris-virginica
83,5.80,2.70,3.90,1.20,Iris-versicolor
14,4.30,3.00,1.10,0.10,Iris-setosa
105,6.50,3.00,5.80,2.20,Iris-virginica
60,5.20,2.70,3.90,1.40,Iris-versicolor
129,6.40,2.80,5.60,2.10,Iris-virginica
94,5.00,2.30,3.30,1.00,Iris-versicolor
100,5.70,2.80,4.10,1.30,Iris-versicolor
42,4.50,2.30,1.30,0.30,Iris-setosa
